CRN,Course,Section,Title,Hours,Area of LLC,Type,Days,Time,Location,Instructor,Seats Still Available,STATUS,Enrolled,Capacity,Reserved,Reserved Available,Unreserved,Unreserved Available,
"8609","HIST 112","3M","The Modern World","3","  AIGM","Lec","MWF","1300-1350","MCM 360","Puaca, Brian","0","Closed","29","29","","","","",
"8610","HIST 112","4C","The Modern World","3","  AIGM","Lec","MWF","1400-1450","MCM 360","Puaca, Brian","1","Open","18","19","","","","",
"8611","HIST 112","5C","The Modern World","3","  AIGM","Lec","TR","1100-1215","MCM 312","Xu, Xiaoqun","2","Open","17","19","","","","",
"8612","HIST 112","6","The Modern World","3","  AIGM","Lec","TR","1330-1445","MCM 366","Xu, Xiaoqun","1","Open","18","19","","","","",
"8613","HIST 112","7","The Modern World","3","  AIGM","Lec","TR","1630-1745","MCM 310","Black, Sara","1","Open","18","19","","","","",
"8614","HIST 112","8M","The Modern World","3","  AIGM","Lec","TR","1630-1745","MCM 362","Stenner, David","4","Open","25","29","","","","",
"8615","HIST 121","1","Early America to the Civil War","3","  AIDE","Lec","MWF","0900-0950","MCM 314","Hamilton, Phillip","1","Open","18","19","","","","",
"8616","HIST 121","2","Early America to the Civil War","3","  AIDE","Lec","MWF","1000-1050","MCM 314","Hamilton, Phillip","1","Open","18","19","","","","",
"8617","HIST 121","3M","Early America to the Civil War","3","  AIDE","Lec","MWF","1000-1050","MCM 212","Shuck-Hall, Sheri","0","Closed","29","29","","","","",
"8618","HIST 121","4","Early America to the Civil War","3","  AIDE","Lec","MWF","1100-1150","MCM 210","Wood, Elizabeth","0","Closed","19","19","","","","",
"8619","HIST 121","5","Early America to the Civil War","3","  AIDE","Lec","MW","1930-2045","MCM 210","Allegro, James","1","Open","18","19","","","","",
"8620","HIST 121","6C","Early America to the Civil War","3","  AIDE","Lec","TR","0800-0915","MCM 162","White, William","2","Open","17","19","","","","",
"8621","HIST 121","7M","Early America to the Civil War","3","  AIDE","Lec","TR","1800-1915","MCM 364","Harshman, Matthew","1","Open","18","19","","","","",
"8622","HIST 122","1","Mod Amer: Rcnst to Globl Power","3","  AIWT","Lec","TR","0930-1045","MCM 160","Allison, James","3","Open","20","23","","","","",
"8623","HIST 122","2M","Mod Amer: Rcnst to Globl Power","3","  AIWT","Lec","TR","1100-1215","MCM 160","Allison, James","0","Closed","29","29","","","","",
"8624","HIST 122","3","Mod Amer: Rcnst to Globl Power","3","  AIWT","Lec","MWF","0800-0850","MCM 360","Phillips, Rolande","0","Closed","19","19","","","","",
"8625","HIST 122","4C","Mod Amer: Rcnst to Globl Power","3","  AIWT","Lec","MWF","0900-0950","MCM 312","Stewart, Nathan","0","Closed","19","19","","","","",
"8626","HIST 122","5","Mod Amer: Rcnst to Globl Power","3","  AIWT","Lec","MWF","1400-1450","MCM 162","Stokes, Brian","0","Closed","19","19","","","","",
"8627","HIST 122","6","Mod Amer: Rcnst to Globl Power","3","  AIWT","Lec","MWF","1500-1550","MCM 162","Stokes, Brian","3","Open","16","19","","","","",
"8628","HIST 122","7C","Mod Amer: Rcnst to Globl Power","3","  AIWT","Lec","TR","1500-1615","MCM 164","Harshman, Matthew","1","Open","18","19","","","","",
